OBJECTID,FacilityID,SourceID,SourceOID,FromPosition,ToPosition,FromCumul_Length,FromCumul_DriveTime,ToCumul_Length,ToCumul_DriveTime,Shape__Length
33,1,3,1817911,1,0,,2.53741146734448,,2.59427046734448,91.147731704344
34,11,3,749764,0.454298909044014,0.576195159049223,,3.35355716443648,,3.40869425140884,73.619509637847
35,1,3,2477670,1,0,,3.34340646734448,,3.44223246734448,131.62797055933
36,2,3,1188844,0.880742522424199,0,,2.12658939982507,,2.21461080751615,234.686183699246
37,4,3,1146228,0,0.013169351163377,,2.47839108203304,,2.48047078596876,2.77724919199371
38,13,3,119863,0.30433997416967,0.545424482099709,,0.895594826200192,,0.986388457309184,121.313381672289
39,1,3,1254483,0.212562797031763,0.347819764034812,,3.77551498126637,,3.83302259169796,76.7176510601468
40,3,3,1880698,0.303773048095839,0.325847615598023,,2,,2.02571545836773,20.6140167441243
41,2,3,453935,0.479841216376104,0.485449508112042,,1.99835170062564,,2,2.20242588468833
42,12,3,478434,1,0,,3.10186332175773,,3.52597432175773,565.798475359223
43,2,3,1062566,0.821693647699832,0.10527362551045,,1,,1.29208014452648,233.613561429365
44,11,3,2103547,0.689681341780237,0.78912469117347,,2.58754419063887,,2.59227073303553,12.4932803507202
45,2,3,425563,0,0.431338129468724,,1.59999570062564,,1.77182183252828,229.278487355624
46,1,3,74422,0,1,,4.17820846734448,,4.40547246734448,303.443963029033
47,4,3,1182552,1,0,,0.782824514187999,,0.873779514187999,241.983125432741
48,11,3,2104626,0.0523315497547143,0,,2.73776149311842,,2.74453371897218,18.1433759506423
49,8,3,2110220,0.484168932509718,0.347049021317586,,4.18232615898433,,4.24676223325129,51.6909827816401
50,8,3,1792730,0,1,,1.38672265521126,,1.44652565521126,79.9832574793379
51,11,3,1184981,1,0.900054746372468,,2.97829849311842,,2.9886132430738,27.6266600977255
52,8,3,209730,0,0.0736950367350593,,3.93497423815923,,3.97533339872223,32.3445798290475
53,8,3,2290721,0,1,,0.316581238159235,,0.355768238159235,52.3761381605335
54,14,3,1201166,0.852849166164722,1,,3.18232455936017,,3.40589994455781,179.232963301362
55,8,3,634194,0,0.210704072608235,,2.47727457588868,,2.51792276275997,32.5418355938259
56,14,3,162872,0.0507262591139427,0.54676938057368,,3.56354865338173,,3.79248991544465,609.875336995532
57,15,3,885995,0.455887683091396,1,,0.728049062781094,,0.939947075253347,168.211557284689
58,1,3,1139951,0,1,,1.20225546734448,,1.25634146734448,72.321511833439
59,11,3,690609,1,0.899095300849759,,3.6943793012779,,3.77651713905198,65.7992602598706
60,11,3,2107197,1,0.667526124945686,,1.2047191863858,,1.35399530165094,119.770849359296
61,11,3,2754578,0.691242303845118,1,,1.46385138828141,,1.6639161863858,158.642287295634
62,15,3,2705423,0,1,,1.2276617205979,,1.2471817205979,26.0327271926012
63,11,3,1045639,0.289164086835372,0.358492297986232,,2.54961577346929,,2.72093590514189,137.444349615877
64,7,3,214293,0.192730612728685,1,,2.29445116567383,,2.36437845453804,185.240880938561
65,11,3,1045981,0.863401201864749,1,,2,,2.24951300385943,200.151862451779
66,5,3,2426610,0,0.0057421071579435,,1.08134287491302,,1.08995878037716,6.90091787132171
67,13,3,2814210,0.229989023004447,0.40300548309181,,1.152096046548,,1.23809785741301,114.770832281053
